label,topic,text,length_chars,length_words,quality_score,sentiment,plagiarism_score,cleaned_text
human,food,"As someone who follows food, I believe privacy concerns remain a top challenge. I would love to hear others' thoughts on this.",126,22,2.37,0.44,0.045,someone follows food believe privacy concerns remain top challenge would love hear others thoughts
ai,travel,Analysis indicates that travel is associated with privacy concerns remain a top challenge. Community feedback will shape future developments.,141,19,3.44,0.6,0.007,analysis indicates travel associated privacy concerns remain top challenge community feedback shape future developments
human,education,I recently experienced education in my day-to-day life and found that the results are promising but preliminary.,112,17,3.16,-0.43,0.163,recently experienced education daytoday life found results promising preliminary
ai,sports,Analysis indicates that sports is associated with costs can vary greatly depending on implementation.,101,14,3.32,0.44,0.122,analysis indicates sports associated costs vary greatly depending implementation
human,finance,"In my experience, finance often leads to users report a mixed set of outcomes.",78,14,3.52,-0.31,0.105,experience finance often leads users report mixed set outcomes
ai,education,Analysis indicates that education is associated with privacy concerns remain a top challenge.,93,13,3.42,0.87,0.106,analysis indicates education associated privacy concerns remain top challenge
ai,sports,The following summary on sports shows it requires more data for conclusive evidence. Implementation details matter a lot here.,126,19,4.22,0.12,0.002,following summary sports shows requires data conclusive evidence implementation details matter lot
ai,science,This article discusses science and highlights that costs can vary greatly depending on implementation. This could change as new data becomes available.,151,22,4.91,-0.2,0.065,article discusses science highlights costs vary greatly depending implementation could change new data becomes available
human,education,I recently experienced education in my day-to-day life and found that privacy concerns remain a top challenge. it requires more data for conclusive evidence it requires more data for conclusive evidence,202,31,2.65,0.23,0.07,recently experienced education daytoday life found privacy concerns remain top challenge requires data conclusive evidence requires data conclusive evidence
ai,science,Research-style summary on science suggests it can be optimized with simple heuristics.,86,12,3.54,-0.45,0.061,researchstyle summary science suggests optimized simple heuristics
human,entertainment,"After trying several approaches related to entertainment, I noticed costs can vary greatly depending on implementation.",119,16,4.01,-0.06,0.034,trying several approaches related entertainment noticed costs vary greatly depending implementation
ai,entertainment,Analysis indicates that entertainment is associated with users report a mixed set of outcomes. adoption increases with better education there are trade-offs to consider costs can vary greatly depending on implementation,219,31,3.21,0.88,0.074,analysis indicates entertainment associated users report mixed set outcomes adoption increases better education tradeoffs consider costs vary greatly depending implementation
human,lifestyle,My personal opinion on lifestyle is that users report a mixed set of outcomes.,78,14,3.82,-0.41,0.108,personal opinion lifestyle users report mixed set outcomes
human,finance,"After trying several approaches related to finance, I noticed the community response has been overwhelmingly positive.",118,16,2.14,0.28,0.339,trying several approaches related finance noticed community response overwhelmingly positive
ai,finance,This article discusses finance and highlights that there are trade-offs to consider.,84,12,4.32,0.29,0.133,article discusses finance highlights tradeoffs consider
human,education,"In my experience, education often leads to there are trade-offs to consider.",76,12,3.96,-0.01,0.113,experience education often leads tradeoffs consider
human,sports,I recently experienced sports in my day-to-day life and found that privacy concerns remain a top challenge.,107,17,3.59,-0.47,0.338,recently experienced sports daytoday life found privacy concerns remain top challenge
